VannforekomstID	Vannforekomstnavn	Vanntype	Nasjonal vanntype	Interkalibreringstype	Økoregion kyst	Kysttype	Salinitet	Tidevann	Bølgeeksponering	Miksing i vannsøylen	Oppholdstid	Strømhastighet	Påvirkningstype	Påvirkningsgrad	Økologisk tilstand	Økologisk potensial	Kjemisk tilstand	Økologisk tilstand miljømål	Økologisk potensial miljømål	Kjemisk miljømål	Vannregionkoordinator	Vannregion	Vannområde	VassdragsområdeID	Vassdragsområde	Endret dato	Kommunenummer	Kommunenavn
0101000030-2-C	Færder	CS1721112	S1	CW-NEA10	Skagerak	Åpen eksponert kyst	Skagerak (> 25)	Liten (< 1 m)	Høy	Blandet	Kort (dager)	Moderat (1 - 3 knop)	Diffus forurenset sjøbunn	Ukjent grad	Moderat	Ikke relevant	Dårlig	God	Udefinert	God	Vestfold og Telemark FK	Vestfold og Telemark	Horten - Larvik	14	AULIVASSDRAGET/KYST TØNSBERG-SANDEFJORD	06.04.2020 13:36	3004,3011,3804,3805,3811	Fredrikstad, Hvaler, Sandefjord, Larvik, Færder
0101000031-C	Svenner - Rauer	CS1721112	S1	CW-NEA10	Skagerak	Åpen eksponert kyst	Skagerak (> 25)	Liten (< 1 m)	Høy	Blandet	Kort (dager)	Moderat (1 - 3 knop)	Diffus forurenset sjøbunn	Ukjent grad	God	Ikke relevant	Dårlig	God	Udefinert	God	Vestfold og Telemark FK	Vestfold og Telemark	Horten - Larvik	15	NUMEDALSLÅGEN OG SILJANVASSDRAGET/KYST SANDEFJORD-MØLEN	9/25/2022 3:38:59 PM	3804,3805	Sandefjord, Larvik
0101000031-C	Svenner - Rauer	CS1721112	S1	CW-NEA10	Skagerak	Åpen eksponert kyst	Skagerak (> 25)	Liten (< 1 m)	Høy	Blandet	Kort (dager)	Moderat (1 - 3 knop)	Diffus avrenning fra fulldyrket mark	Middels grad	God	Ikke relevant	Dårlig	God	Udefinert	God	Vestfold og Telemark FK	Vestfold og Telemark	Horten - Larvik	15	NUMEDALSLÅGEN OG SILJANVASSDRAGET/KYST SANDEFJORD-MØLEN	9/25/2022 3:38:59 PM	3804,3805	Sandefjord, Larvik
0101000031-C	Svenner - Rauer	CS1721112	S1	CW-NEA10	Skagerak	Åpen eksponert kyst	Skagerak (> 25)	Liten (< 1 m)	Høy	Blandet	Kort (dager)	Moderat (1 - 3 knop)	Diffus annen langtransportert forurensning	Liten grad	God	Ikke relevant	Dårlig	God	Udefinert	God	Vestfold og Telemark FK	Vestfold og Telemark	Horten - Larvik	15	NUMEDALSLÅGEN OG SILJANVASSDRAGET/KYST SANDEFJORD-MØLEN	9/25/2022 3:38:59 PM	3804,3805	Sandefjord, Larvik
0101000031-C	Svenner - Rauer	CS1721112	S1	CW-NEA10	Skagerak	Åpen eksponert kyst	Skagerak (> 25)	Liten (< 1 m)	Høy	Blandet	Kort (dager)	Moderat (1 - 3 knop)	Introduserte art - stillehavsøsters	Liten grad	God	Ikke relevant	Dårlig	God	Udefinert	God	Vestfold og Telemark FK	Vestfold og Telemark	Horten - Larvik	15	NUMEDALSLÅGEN OG SILJANVASSDRAGET/KYST SANDEFJORD-MØLEN	9/25/2022 3:38:59 PM	3804,3805	Sandefjord, Larvik
0101000031-C	Svenner - Rauer	CS1721112	S1	CW-NEA10	Skagerak	Åpen eksponert kyst	Skagerak (> 25)	Liten (< 1 m)	Høy	Blandet	Kort (dager)	Moderat (1 - 3 knop)	Fysisk endring grunnet havneanlegg	Liten grad	God	Ikke relevant	Dårlig	God	Udefinert	God	Vestfold og Telemark FK	Vestfold og Telemark	Horten - Larvik	15	NUMEDALSLÅGEN OG SILJANVASSDRAGET/KYST SANDEFJORD-MØLEN	9/25/2022 3:38:59 PM	3804,3805	Sandefjord, Larvik
0101000032-2-C	Vauerkilen	CS3723222	S3	CW-NEA9	Skagerak	Beskyttet kyst/fjord	Skagerak (> 25)	Liten (< 1 m)	Beskyttet	Delvis blandet	Moderat (uker)	Moderat (1 - 3 knop)	Forsøpling eller ulovlige søppeltipper	Middels grad	Dårlig	Ikke relevant	Udefinert	God	Udefinert	God	Viken FK	Innlandet og Viken	Glomma sør for Øyeren	2	GLOMMAVASSDRAGET/HVALER OG SINGLEFJORDEN	08.08.2018 11:19	3011	Hvaler
0101000032-2-C	Vauerkilen	CS3723222	S3	CW-NEA9	Skagerak	Beskyttet kyst/fjord	Skagerak (> 25)	Liten (< 1 m)	Beskyttet	Delvis blandet	Moderat (uker)	Moderat (1 - 3 knop)	Diffus annen langtransportert forurensning	Middels grad	Dårlig	Ikke relevant	Udefinert	God	Udefinert	God	Viken FK	Innlandet og Viken	Glomma sør for Øyeren	2	GLOMMAVASSDRAGET/HVALER OG SINGLEFJORDEN	08.08.2018 11:19	3011	Hvaler
0101000032-2-C	Vauerkilen	CS3723222	S3	CW-NEA9	Skagerak	Beskyttet kyst/fjord	Skagerak (> 25)	Liten (< 1 m)	Beskyttet	Delvis blandet	Moderat (uker)	Moderat (1 - 3 knop)	Diffus avrenning fra hytter	Liten grad	Dårlig	Ikke relevant	Udefinert	God	Udefinert	God	Viken FK	Innlandet og Viken	Glomma sør for Øyeren	2	GLOMMAVASSDRAGET/HVALER OG SINGLEFJORDEN	08.08.2018 11:19	3011	Hvaler
0101000032-2-C	Vauerkilen	CS3723222	S3	CW-NEA9	Skagerak	Beskyttet kyst/fjord	Skagerak (> 25)	Liten (< 1 m)	Beskyttet	Delvis blandet	Moderat (uker)	Moderat (1 - 3 knop)	Diffus avrenning fra spillvannslekkasje	Liten grad	Dårlig	Ikke relevant	Udefinert	God	Udefinert	God	Viken FK	Innlandet og Viken	Glomma sør for Øyeren	2	GLOMMAVASSDRAGET/HVALER OG SINGLEFJORDEN	08.08.2018 11:19	3011	Hvaler
0101000032-2-C	Vauerkilen	CS3723222	S3	CW-NEA9	Skagerak	Beskyttet kyst/fjord	Skagerak (> 25)	Liten (< 1 m)	Beskyttet	Delvis blandet	Moderat (uker)	Moderat (1 - 3 knop)	Diffus avrenning fra beite og eng	Liten grad	Dårlig	Ikke relevant	Udefinert	God	Udefinert	God	Viken FK	Innlandet og Viken	Glomma sør for Øyeren	2	GLOMMAVASSDRAGET/HVALER OG SINGLEFJORDEN	08.08.2018 11:19	3011	Hvaler
0101000032-2-C	Vauerkilen	CS3723222	S3	CW-NEA9	Skagerak	Beskyttet kyst/fjord	Skagerak (> 25)	Liten (< 1 m)	Beskyttet	Delvis blandet	Moderat (uker)	Moderat (1 - 3 knop)	Diffus avrenning fra spredt bebyggelse	Middels grad	Dårlig	Ikke relevant	Udefinert	God	Udefinert	God	Viken FK	Innlandet og Viken	Glomma sør for Øyeren	2	GLOMMAVASSDRAGET/HVALER OG SINGLEFJORDEN	08.08.2018 11:19	3011	Hvaler
0101000032-2-C	Vauerkilen	CS3723222	S3	CW-NEA9	Skagerak	Beskyttet kyst/fjord	Skagerak (> 25)	Liten (< 1 m)	Beskyttet	Delvis blandet	Moderat (uker)	Moderat (1 - 3 knop)	Diffus avrenning fra fritidsbåter	Middels grad	Dårlig	Ikke relevant	Udefinert	God	Udefinert	God	Viken FK	Innlandet og Viken	Glomma sør for Øyeren	2	GLOMMAVASSDRAGET/HVALER OG SINGLEFJORDEN	08.08.2018 11:19	3011	Hvaler
0101000032-2-C	Vauerkilen	CS3723222	S3	CW-NEA9	Skagerak	Beskyttet kyst/fjord	Skagerak (> 25)	Liten (< 1 m)	Beskyttet	Delvis blandet	Moderat (uker)	Moderat (1 - 3 knop)	Punktutslipp fra regnvannsoverløp	Middels grad	Dårlig	Ikke relevant	Udefinert	God	Udefinert	God	Viken FK	Innlandet og Viken	Glomma sør for Øyeren	2	GLOMMAVASSDRAGET/HVALER OG SINGLEFJORDEN	08.08.2018 11:19	3011	Hvaler
0101000032-3-C	Tjøme	CS1721112	S1	CW-NEA10	Skagerak	Åpen eksponert kyst	Skagerak (> 25)	Liten (< 1 m)	Høy	Blandet	Kort (dager)	Moderat (1 - 3 knop)	Punktutslipp fra renseanlegg 150000 PE	Liten grad	Moderat	Ikke relevant	Dårlig	God	Udefinert	God	Vestfold og Telemark FK	Vestfold og Telemark	Horten - Larvik	14	AULIVASSDRAGET/KYST TØNSBERG-SANDEFJORD	06.09.2022 09:18	3004,3811	Fredrikstad, Færder
0101000032-3-C	Tjøme	CS1721112	S1	CW-NEA10	Skagerak	Åpen eksponert kyst	Skagerak (> 25)	Liten (< 1 m)	Høy	Blandet	Kort (dager)	Moderat (1 - 3 knop)	Diffus avrenning fra fulldyrket mark	Liten grad	Moderat	Ikke relevant	Dårlig	God	Udefinert	God	Vestfold og Telemark FK	Vestfold og Telemark	Horten - Larvik	14	AULIVASSDRAGET/KYST TØNSBERG-SANDEFJORD	06.09.2022 09:18	3004,3811	Fredrikstad, Færder
0101000032-3-C	Tjøme	CS1721112	S1	CW-NEA10	Skagerak	Åpen eksponert kyst	Skagerak (> 25)	Liten (< 1 m)	Høy	Blandet	Kort (dager)	Moderat (1 - 3 knop)	Diffus annen langtransportert forurensning	Middels grad	Moderat	Ikke relevant	Dårlig	God	Udefinert	God	Vestfold og Telemark FK	Vestfold og Telemark	Horten - Larvik	14	AULIVASSDRAGET/KYST TØNSBERG-SANDEFJORD	06.09.2022 09:18	3004,3811	Fredrikstad, Færder
0101000032-3-C	Tjøme	CS1721112	S1	CW-NEA10	Skagerak	Åpen eksponert kyst	Skagerak (> 25)	Liten (< 1 m)	Høy	Blandet	Kort (dager)	Moderat (1 - 3 knop)	Introduserte art - stillehavsøsters	Liten grad	Moderat	Ikke relevant	Dårlig	God	Udefinert	God	Vestfold og Telemark FK	Vestfold og Telemark	Horten - Larvik	14	AULIVASSDRAGET/KYST TØNSBERG-SANDEFJORD	06.09.2022 09:18	3004,3811	Fredrikstad, Færder
0101000032-4-C	Nordre og Søndre Søster	CS1721112	S1	CW-NEA10	Skagerak	Åpen eksponert kyst	Skagerak (> 25)	Liten (< 1 m)	Høy	Blandet	Kort (dager)	Moderat (1 - 3 knop)	Forsøpling eller ulovlige søppeltipper	Middels grad	Moderat	Ikke relevant	Dårlig	God	Udefinert	God	Viken FK	Innlandet og Viken	Glomma sør for Øyeren	2	GLOMMAVASSDRAGET/HVALER OG SINGLEFJORDEN	10/28/2019 11:58:24 AM	3004,3011,3811	Fredrikstad, Hvaler, Færder
0101000032-4-C	Nordre og Søndre Søster	CS1721112	S1	CW-NEA10	Skagerak	Åpen eksponert kyst	Skagerak (> 25)	Liten (< 1 m)	Høy	Blandet	Kort (dager)	Moderat (1 - 3 knop)	Diffus annen langtransportert forurensning	Middels grad	Moderat	Ikke relevant	Dårlig	God	Udefinert	God	Viken FK	Innlandet og Viken	Glomma sør for Øyeren	2	GLOMMAVASSDRAGET/HVALER OG SINGLEFJORDEN	10/28/2019 11:58:24 AM	3004,3011,3811	Fredrikstad, Hvaler, Færder
0101000032-4-C	Nordre og Søndre Søster	CS1721112	S1	CW-NEA10	Skagerak	Åpen eksponert kyst	Skagerak (> 25)	Liten (< 1 m)	Høy	Blandet	Kort (dager)	Moderat (1 - 3 knop)	Diffus avrenning fra fulldyrket mark	Liten grad	Moderat	Ikke relevant	Dårlig	God	Udefinert	God	Viken FK	Innlandet og Viken	Glomma sør for Øyeren	2	GLOMMAVASSDRAGET/HVALER OG SINGLEFJORDEN	10/28/2019 11:58:24 AM	3004,3011,3811	Fredrikstad, Hvaler, Færder
0101000032-4-C	Nordre og Søndre Søster	CS1721112	S1	CW-NEA10	Skagerak	Åpen eksponert kyst	Skagerak (> 25)	Liten (< 1 m)	Høy	Blandet	Kort (dager)	Moderat (1 - 3 knop)	Diffus avrenning fra fritidsbåter	Liten grad	Moderat	Ikke relevant	Dårlig	God	Udefinert	God	Viken FK	Innlandet og Viken	Glomma sør for Øyeren	2	GLOMMAVASSDRAGET/HVALER OG SINGLEFJORDEN	10/28/2019 11:58:24 AM	3004,3011,3811	Fredrikstad, Hvaler, Færder
0101010201-C	Iddefjorden-indre	CS5623322	S5	Not applicable	Skagerak	Sterkt ferskvannspåvirket fjord	Skagerak (5 - 25)	Liten (< 1 m)	Beskyttet	Lagdelt	Moderat (uker)	Moderat (1 - 3 knop)	Punktutslipp fra renseanlegg 15000 PE	Middels grad	Moderat	Ikke relevant	Udefinert	God	Udefinert	God	Viken FK	Innlandet og Viken	Enningdalen	1	HALDENVASSDRAGET/IDDEFJORDEN	11/30/2018 1:55:46 PM	3001,SE	Halden, Sverige
0101010201-C	Iddefjorden-indre	CS5623322	S5	Not applicable	Skagerak	Sterkt ferskvannspåvirket fjord	Skagerak (5 - 25)	Liten (< 1 m)	Beskyttet	Lagdelt	Moderat (uker)	Moderat (1 - 3 knop)	Diffus avrenning fra fulldyrket mark	Middels grad	Moderat	Ikke relevant	Udefinert	God	Udefinert	God	Viken FK	Innlandet og Viken	Enningdalen	1	HALDENVASSDRAGET/IDDEFJORDEN	11/30/2018 1:55:46 PM	3001,SE	Halden, Sverige
0101010201-C	Iddefjorden-indre	CS5623322	S5	Not applicable	Skagerak	Sterkt ferskvannspåvirket fjord	Skagerak (5 - 25)	Liten (< 1 m)	Beskyttet	Lagdelt	Moderat (uker)	Moderat (1 - 3 knop)	Diffus avrenning fra beite og eng	Liten grad	Moderat	Ikke relevant	Udefinert	God	Udefinert	God	Viken FK	Innlandet og Viken	Enningdalen	1	HALDENVASSDRAGET/IDDEFJORDEN	11/30/2018 1:55:46 PM	3001,SE	Halden, Sverige
0101010201-C	Iddefjorden-indre	CS5623322	S5	Not applicable	Skagerak	Sterkt ferskvannspåvirket fjord	Skagerak (5 - 25)	Liten (< 1 m)	Beskyttet	Lagdelt	Moderat (uker)	Moderat (1 - 3 knop)	Diffus avrenning fra industrier	Middels grad	Moderat	Ikke relevant	Udefinert	God	Udefinert	God	Viken FK	Innlandet og Viken	Enningdalen	1	HALDENVASSDRAGET/IDDEFJORDEN	11/30/2018 1:55:46 PM	3001,SE	Halden, Sverige
0101010201-C	Iddefjorden-indre	CS5623322	S5	Not applicable	Skagerak	Sterkt ferskvannspåvirket fjord	Skagerak (5 - 25)	Liten (< 1 m)	Beskyttet	Lagdelt	Moderat (uker)	Moderat (1 - 3 knop)	Forsøpling eller ulovlige søppeltipper	Ukjent grad	Moderat	Ikke relevant	Udefinert	God	Udefinert	God	Viken FK	Innlandet og Viken	Enningdalen	1	HALDENVASSDRAGET/IDDEFJORDEN	11/30/2018 1:55:46 PM	3001,SE	Halden, Sverige
0101010202-1-C	Iddefjorden hovedbasseng	CS5623322	S5	Not applicable	Skagerak	Sterkt ferskvannspåvirket fjord	Skagerak (5 - 25)	Liten (< 1 m)	Beskyttet	Lagdelt	Moderat (uker)	Moderat (1 - 3 knop)	Forsøpling eller ulovlige søppeltipper	Ukjent grad	Moderat	Ikke relevant	God	God	Udefinert	God	Viken FK	Innlandet og Viken	Haldenvassdraget	1	HALDENVASSDRAGET/IDDEFJORDEN	9/26/2022 4:00:28 PM	3001,SE	Halden, Sverige
0101010202-1-C	Iddefjorden hovedbasseng	CS5623322	S5	Not applicable	Skagerak	Sterkt ferskvannspåvirket fjord	Skagerak (5 - 25)	Liten (< 1 m)	Beskyttet	Lagdelt	Moderat (uker)	Moderat (1 - 3 knop)	Punktutslipp fra renseanlegg 150000 PE	Middels grad	Moderat	Ikke relevant	God	God	Udefinert	God	Viken FK	Innlandet og Viken	Haldenvassdraget	1	HALDENVASSDRAGET/IDDEFJORDEN	9/26/2022 4:00:28 PM	3001,SE	Halden, Sverige
0101010202-1-C	Iddefjorden hovedbasseng	CS5623322	S5	Not applicable	Skagerak	Sterkt ferskvannspåvirket fjord	Skagerak (5 - 25)	Liten (< 1 m)	Beskyttet	Lagdelt	Moderat (uker)	Moderat (1 - 3 knop)	Punktutslipp fra industri (IED)	Middels grad	Moderat	Ikke relevant	God	God	Udefinert	God	Viken FK	Innlandet og Viken	Haldenvassdraget	1	HALDENVASSDRAGET/IDDEFJORDEN	9/26/2022 4:00:28 PM	3001,SE	Halden, Sverige
0101010202-1-C	Iddefjorden hovedbasseng	CS5623322	S5	Not applicable	Skagerak	Sterkt ferskvannspåvirket fjord	Skagerak (5 - 25)	Liten (< 1 m)	Beskyttet	Lagdelt	Moderat (uker)	Moderat (1 - 3 knop)	Diffus avrenning fra fritidsbåter	Liten grad	Moderat	Ikke relevant	God	God	Udefinert	God	Viken FK	Innlandet og Viken	Haldenvassdraget	1	HALDENVASSDRAGET/IDDEFJORDEN	9/26/2022 4:00:28 PM	3001,SE	Halden, Sverige
0101010202-1-C	Iddefjorden hovedbasseng	CS5623322	S5	Not applicable	Skagerak	Sterkt ferskvannspåvirket fjord	Skagerak (5 - 25)	Liten (< 1 m)	Beskyttet	Lagdelt	Moderat (uker)	Moderat (1 - 3 knop)	Diffus forurenset sjøbunn	Ukjent grad	Moderat	Ikke relevant	God	God	Udefinert	God	Viken FK	Innlandet og Viken	Haldenvassdraget	1	HALDENVASSDRAGET/IDDEFJORDEN	9/26/2022 4:00:28 PM	3001,SE	Halden, Sverige
0101010202-1-C	Iddefjorden hovedbasseng	CS5623322	S5	Not applicable	Skagerak	Sterkt ferskvannspåvirket fjord	Skagerak (5 - 25)	Liten (< 1 m)	Beskyttet	Lagdelt	Moderat (uker)	Moderat (1 - 3 knop)	Diffus avrenning fra fulldyrket mark	Middels grad	Moderat	Ikke relevant	God	God	Udefinert	God	Viken FK	Innlandet og Viken	Haldenvassdraget	1	HALDENVASSDRAGET/IDDEFJORDEN	9/26/2022 4:00:28 PM	3001,SE	Halden, Sverige
0101010202-1-C	Iddefjorden hovedbasseng	CS5623322	S5	Not applicable	Skagerak	Sterkt ferskvannspåvirket fjord	Skagerak (5 - 25)	Liten (< 1 m)	Beskyttet	Lagdelt	Moderat (uker)	Moderat (1 - 3 knop)	Diffus avrenning fra byer/tettsteder	Liten grad	Moderat	Ikke relevant	God	God	Udefinert	God	Viken FK	Innlandet og Viken	Haldenvassdraget	1	HALDENVASSDRAGET/IDDEFJORDEN	9/26/2022 4:00:28 PM	3001,SE	Halden, Sverige
0101010202-2-C	Halden havnebasseng	CS5623322	S5	Not applicable	Skagerak	Sterkt ferskvannspåvirket fjord	Skagerak (5 - 25)	Liten (< 1 m)	Beskyttet	Lagdelt	Moderat (uker)	Moderat (1 - 3 knop)	Diffus avrenning fra byer/tettsteder	Liten grad	Ikke relevant	Moderat	Dårlig	God	Godt	God	Viken FK	Innlandet og Viken	Haldenvassdraget	1	HALDENVASSDRAGET/IDDEFJORDEN	9/26/2022 4:01:47 PM	3001	Halden
0101010202-2-C	Halden havnebasseng	CS5623322	S5	Not applicable	Skagerak	Sterkt ferskvannspåvirket fjord	Skagerak (5 - 25)	Liten (< 1 m)	Beskyttet	Lagdelt	Moderat (uker)	Moderat (1 - 3 knop)	Diffus avrenning fra fulldyrket mark	Middels grad	Ikke relevant	Moderat	Dårlig	God	Godt	God	Viken FK	Innlandet og Viken	Haldenvassdraget	1	HALDENVASSDRAGET/IDDEFJORDEN	9/26/2022 4:01:47 PM	3001	Halden
0101010202-2-C	Halden havnebasseng	CS5623322	S5	Not applicable	Skagerak	Sterkt ferskvannspåvirket fjord	Skagerak (5 - 25)	Liten (< 1 m)	Beskyttet	Lagdelt	Moderat (uker)	Moderat (1 - 3 knop)	Diffus forurenset sjøbunn	Ukjent grad	Ikke relevant	Moderat	Dårlig	God	Godt	God	Viken FK	Innlandet og Viken	Haldenvassdraget	1	HALDENVASSDRAGET/IDDEFJORDEN	9/26/2022 4:01:47 PM	3001	Halden
0101010202-2-C	Halden havnebasseng	CS5623322	S5	Not applicable	Skagerak	Sterkt ferskvannspåvirket fjord	Skagerak (5 - 25)	Liten (< 1 m)	Beskyttet	Lagdelt	Moderat (uker)	Moderat (1 - 3 knop)	Diffus avrenning fra fritidsbåter	Liten grad	Ikke relevant	Moderat	Dårlig	God	Godt	God	Viken FK	Innlandet og Viken	Haldenvassdraget	1	HALDENVASSDRAGET/IDDEFJORDEN	9/26/2022 4:01:47 PM	3001	Halden
